id,title,artist,style,store_url,published_on,youtube,key,org_key,comment,org_url,org_type
0014-01,Say Something,A Great Big World,Piano Solo,https://www.musicnotes.com/l/CvhMw,2021-04-05,https://youtu.be/hiDEDpHQCKE,D major,D major,,https://youtu.be/-2U0Ivkn2Ds,Official music video
0013-02,Heartbreak Anniversary,Giveon,Easy Piano,https://www.musicnotes.com/l/zHhMJ,2021-04-02,https://youtu.be/nsvvhg1AQUg,C major,C major,,https://youtu.be/uWRlisQu4fo,Official music video
0013-01,Heartbreak Anniversary,Giveon,Piano Solo,https://www.sheetmusicplus.com/title/22003474,2021-04-02,https://youtu.be/pJYuI5bFcSM,C major,C major,,https://youtu.be/uWRlisQu4fo,Official music video
0012-02,Drivers License,Olivia Rodrigo,Easy Piano,https://www.sheetmusicplus.com/title/22002399,2021-03-31,https://youtu.be/Bf8yq4_vjF4,C major,B-flat major,,https://youtu.be/ZmDBbnmKpqQ,Official music video
0012-01,Drivers License,Olivia Rodrigo,Piano Solo,https://www.musicnotes.com/l/2thMp,2021-03-31,https://youtu.be/PbEN2gkcDRc,E-flat major,B-flat major,,https://youtu.be/ZmDBbnmKpqQ,Official music video
0010-02,Cardigan,Taylor Swift,Easy Piano,https://www.musicnotes.com/l/NhhMZ,2021-03-27,https://youtu.be/GuMhsM_07Q0,D major,E-flat major,,https://youtu.be/K-a8s8OLBSE,Official music video
0010-01,Cardigan,Taylor Swift,Piano Solo,https://www.musicnotes.com/l/fQhMF,2021-03-27,https://youtu.be/KGvlQKsbAk8,E-flat major,E-flat major,,https://youtu.be/K-a8s8OLBSE,Official music video
0011-02,On The Ground,Rosé,Easy Piano,https://www.musicnotes.com/l/cvhMP,2021-03-26,https://youtu.be/KtVW2yC_S5g,F major,D-flat major,,https://youtu.be/CKZvWhCqx1s,Official music video
0011-01,On The Ground,Rosé,Piano Solo,https://www.musicnotes.com/l/LvhMJ,2021-03-26,https://youtu.be/t5Gc3-95VeM,F major,D-flat major,,https://youtu.be/CKZvWhCqx1s,Official music video
000F-02,Rain On Me,Lady Gaga And Ariana Grande,Easy Piano,https://www.musicnotes.com/l/xvhMS,2021-03-25,https://youtu.be/IlOrZr0G4g4,E minor,C-sharp minor,,https://youtu.be/AoAm4om0wTs,Official music video
000F-01,Rain On Me,Lady Gaga And Ariana Grande,Piano Solo,https://www.musicnotes.com/l/lHhM4,2021-03-25,https://youtu.be/tMeaeBjilaQ,C-sharp minor,C-sharp minor,Pursued powerful sound by using octaves and simple harmonies.,https://youtu.be/AoAm4om0wTs,Official music video
000D-02,Telepatía,Kali Uchis,Easy Piano,https://www.musicnotes.com/l/GvhMS,2021-03-23,https://youtu.be/BEbHPfSBJZ8,G major,D major,,https://youtu.be/Dwzk-XZxZ4k,Official audio
000D-01,Telepatía,Kali Uchis,Piano Solo,https://www.musicnotes.com/l/BVhMw,2021-03-23,https://youtu.be/hEiKPO6q99U,D major,D major,,https://youtu.be/Dwzk-XZxZ4k,Official audio
000E-02,Everything I Wanted,Billie Eilish,Easy Piano,https://www.musicnotes.com/l/2KhMb,2021-03-20,https://youtu.be/36aiy6hm58A,D major,A major,,https://youtu.be/EgBJmlPo8Xw,Official music video
000E-01,Everything I Wanted,Billie Eilish,Piano Solo,https://www.sheetmusicplus.com/title/21997353,2021-03-20,https://youtu.be/VVKF3yJFhfI,A major,A major,Chose the classical arpeggio style for the simple and beautiful melody.,https://youtu.be/EgBJmlPo8Xw,Official music video
000C-02,Leave The Door Open,"Bruno Mars, Anderson .Paak And Silk Sonic",Easy Piano,https://www.musicnotes.com/l/M6hM8,2021-03-19,https://youtu.be/RcOP3aOLCGM,G major,D-flat major,,https://youtu.be/adLGHcj_fmA,Official music video
000C-01,Leave The Door Open,"Bruno Mars, Anderson .Paak And Silk Sonic",Piano Solo,https://www.sheetmusicplus.com/title/21995824,2021-03-19,https://youtu.be/cijieTJmkHw,D-flat major,D-flat major,,https://youtu.be/adLGHcj_fmA,Official music video
000B-02,Medicine,James Arthur,Easy Piano,https://www.musicnotes.com/l/CHhMW,2021-03-17,https://youtu.be/rewL_pdE_xk,C major,B-flat major,,https://youtu.be/kvVyKycCE4I,Official music video
000B-01,Medicine,James Arthur,Piano Solo,https://www.musicnotes.com/l/9vhMw,2021-03-17,https://youtu.be/qORadqrKEq4,B-flat major,B-flat major,,https://youtu.be/kvVyKycCE4I,Official music video
000A-02,Minefields,Faouzia And John Legend,Easy Piano,https://www.musicnotes.com/l/tkhMQ,2021-03-16,https://youtu.be/aNVRtoaanss,C major,E major,,https://youtu.be/jKIEUdAMtrQ,Official music video
000A-01,Minefields,Faouzia And John Legend,Piano Solo,https://www.musicnotes.com/l/THhMP,2021-03-16,https://youtu.be/ESMgxjB5bMs,E-flat major,E major,Tried a different style using triplets and arpeggios.,https://youtu.be/jKIEUdAMtrQ,Official music video
0009-02,We're Good,Dua Lipa,Easy Piano,https://www.musicnotes.com/l/vKhM4,2021-03-16,https://youtu.be/cDanHd2FXZA,C major,B major,,https://youtu.be/jr47YisIsz8,Official music video
0009-01,We're Good,Dua Lipa,Piano Solo,https://www.musicnotes.com/l/NKhMn,2021-03-16,https://youtu.be/oBH3zjPi990,B major,B major,,https://youtu.be/jr47YisIsz8,Official music video
0007-02,No Time To Die,Billie Eilish,Easy Piano,https://www.musicnotes.com/l/6QhM8,2021-03-16,https://youtu.be/AJsva8a-nyc,E minor,E minor,,https://youtu.be/BboMpayJomw,Official music video
0007-01,No Time To Die,Billie Eilish,Piano Solo,https://www.musicnotes.com/l/VPhM4,2021-03-16,https://youtu.be/lLec3OdGC0Q,E minor,E minor,,https://youtu.be/BboMpayJomw,Official music video
0006-02,Lady,Brett Young,Easy Piano,https://www.musicnotes.com/l/NBMMW,2021-03-16,https://youtu.be/ZppuOwPqh5Y,G major,G major,,https://youtu.be/X0XBqnZOXt4,Official music video
0006-01,Lady,Brett Young,Piano Solo,https://www.musicnotes.com/l/KBMMm,2021-03-16,https://youtu.be/J3g1QGa1ucU,B-flat major,G major,Completely different style from the original. Enjoy the chorus's melody neatly woven in the flowing notes!,https://youtu.be/X0XBqnZOXt4,Official music video
0005-02,Lonely,Justin Bieber And Benny Blanco,Easy Piano,https://www.musicnotes.com/l/ftMMJ,2021-03-01,https://youtu.be/fCwTC8pUX0g,B minor,B minor,,https://youtu.be/xQOO2xGQ1Pc,Official music video
0005-01,Lonely,Justin Bieber And Benny Blanco,Piano Solo,https://www.musicnotes.com/l/9RMMQ,2021-03-01,https://youtu.be/c8CmtFFbW2M,B minor,B minor,,https://youtu.be/xQOO2xGQ1Pc,Official music video
0004-02,Perfect,Ed Sheeran,Easy Piano,https://www.musicnotes.com/l/vBMMQ,2021-03-01,https://youtu.be/YXEwr4zTH9s,G major,A-flat major,,https://youtu.be/2Vv-BfVoq4g,Official music video
0004-01,Perfect,Ed Sheeran,Piano Solo,https://www.musicnotes.com/l/CtMMQ,2021-03-01,https://youtu.be/5G1avTeHm9U,A-flat major,A-flat major,,https://youtu.be/2Vv-BfVoq4g,Official music video
0003-02,Willow,Taylor Swift,Easy Piano,https://www.musicnotes.com/l/TtMMS,2021-03-01,https://youtu.be/a7q08N-aRrc,G major,G major,,https://youtu.be/RsEZmictANA,Official music video
0003-01,Willow,Taylor Swift,Piano Solo,https://www.musicnotes.com/l/cRMMZ,2021-03-01,https://youtu.be/M6wVqSUep90,G major,G major,,https://youtu.be/RsEZmictANA,Official music video
0031-02,Our Last Summer,Abba,Easy Piano,,,https://youtu.be/48Gt9TMOoxE,C major,D major,,https://youtu.be/xm3s1sANRDE,Official audio
0031-01,Our Last Summer,Abba,Piano Solo,,,https://youtu.be/30ar5VXRxNI,D major,D major,,https://youtu.be/xm3s1sANRDE,Official audio
0031-00,Our Last Summer,Abba,Lead Sheet,,,,D major,D major,,https://youtu.be/xm3s1sANRDE,Official audio
0030-02,Without You,Mariah Carey,Easy Piano,,,https://youtu.be/ybZuyUqCzMQ,C major,F-sharp major,,https://youtu.be/6VY8ZxcDh1s,Official audio
0030-01,Without You,Mariah Carey,Piano Solo,,,https://youtu.be/vcDuxmO0Jr8,F-sharp major,F-sharp major,,https://youtu.be/6VY8ZxcDh1s,Official audio
0030-00,Without You,Mariah Carey,Lead Sheet,,,,F-sharp major,F-sharp major,,https://youtu.be/6VY8ZxcDh1s,Official audio
